Page Load Speed (ms),Time
1397,2016-07-01 14:57:36
617,2016-07-01 14:58:03
552,2016-07-01 15:01:25
456,2016-07-01 15:01:27
241,2016-07-01 15:01:30
669,2016-07-01 15:03:17
388,2016-07-01 15:03:42
585,2016-07-01 15:06:44
1720,2016-07-01 15:08:15
436,2016-07-01 15:10:53
337,2016-07-01 15:11:00
386,2016-07-01 15:11:46
459,2016-07-01 15:11:49
530,2016-07-01 15:16:12
420,2016-07-01 15:16:13
516,2016-07-01 15:17:10
232,2016-07-01 15:17:11
269,2016-07-01 15:17:13
518,2016-07-01 15:18:07
271,2016-07-01 15:18:16
583,2016-07-01 15:22:16
514,2016-07-03 15:24:52
639,2016-07-05 08:54:44
562,2016-07-05 08:56:14
572,2016-07-05 08:56:14
655,2016-07-05 09:00:50
636,2016-07-05 09:05:48
637,2016-07-05 09:11:43
631,2016-07-05 09:14:07
636,2016-07-05 09:17:52
572,2016-07-05 09:18:11
569,2016-07-05 09:18:11
473,2016-07-05 09:18:30
639,2016-07-05 09:22:13
577,2016-07-05 09:24:35
585,2016-07-05 09:26:50
584,2016-07-05 09:28:15
579,2016-07-05 09:29:37
572,2016-07-05 09:30:54
584,2016-07-05 09:31:38
585,2016-07-05 09:38:46
375,2016-07-05 09:41:02
378,2016-07-05 09:42:23
586,2016-07-05 09:43:23
473,2016-07-05 09:44:24
603,2016-07-05 09:45:07
587,2016-07-05 09:47:56
596,2016-07-05 09:50:46
576,2016-07-05 09:53:10
586,2016-07-05 09:54:34
619,2016-07-05 09:56:48
627,2016-07-05 10:09:48
336,2016-07-05 10:09:48
465,2016-07-05 10:09:55
557,2016-07-05 10:09:57
256,2016-07-05 10:10:43
343,2016-07-05 10:10:48
483,2016-07-05 10:13:49
572,2016-07-05 10:15:49
576,2016-07-05 10:15:49
418,2016-07-05 10:15:55
795,2016-07-05 10:22:08
502,2016-07-05 10:22:56
829,2016-07-05 10:25:14
872,2016-07-05 10:28:49
586,2016-07-05 10:31:23
1525,2016-07-05 10:33:33
576,2016-07-05 10:34:44
628,2016-07-05 10:34:44
426,2016-07-05 10:34:51
509,2016-07-05 10:36:10
425,2016-07-05 10:36:18
517,2016-07-05 10:37:07
435,2016-07-05 10:37:10
7247,2016-07-05 10:37:45
837,2016-07-05 10:37:46
1185,2016-07-05 10:37:52
682,2016-07-05 10:38:00
568,2016-07-05 10:38:33
432,2016-07-05 10:38:35
271,2016-07-05 10:38:40
587,2016-07-05 10:38:54
522,2016-07-05 10:39:07
448,2016-07-05 10:39:09
513,2016-07-05 10:39:59
413,2016-07-05 10:40:03
265,2016-07-05 10:40:06
505,2016-07-05 10:40:51
438,2016-07-05 10:40:53
611,2016-07-05 10:40:54
287,2016-07-05 10:40:56
529,2016-07-05 10:41:25
429,2016-07-05 10:41:27
522,2016-07-05 10:42:37
434,2016-07-05 10:42:39
355,2016-07-05 10:42:43
2409,2016-07-05 10:42:58
507,2016-07-05 10:43:13
276,2016-07-05 10:43:47
1670,2016-07-05 10:44:22
3726,2016-07-05 10:44:28
1012,2016-07-05 10:44:41
603,2016-07-05 10:44:52
405,2016-07-05 10:44:58
537,2016-07-05 10:45:22
614,2016-07-05 10:45:22
512,2016-07-05 10:45:36
725,2016-07-05 10:45:48
620,2016-07-05 10:45:51
640,2016-07-05 10:46:33
647,2016-07-05 10:46:37
634,2016-07-05 10:48:31
841,2016-07-05 10:51:13
545,2016-07-05 10:51:13
695,2016-07-05 10:51:19
643,2016-07-05 10:51:34
866,2016-07-05 10:52:32
317,2016-07-05 10:52:37
1154,2016-07-05 10:52:41
210,2016-07-05 10:53:44
708,2016-07-05 10:54:06
833,2016-07-05 10:54:19
1262,2016-07-05 10:54:25
678,2016-07-05 10:54:43
573,2016-07-05 10:54:48
1578,2016-07-05 10:55:26
1069,2016-07-05 10:55:32
630,2016-07-05 10:56:00
593,2016-07-05 10:57:11
996,2016-07-05 10:57:13
629,2016-07-05 10:58:58
727,2016-07-05 10:59:03
726,2016-07-05 10:59:03
587,2016-07-05 10:59:22
276,2016-07-05 10:59:24
473,2016-07-05 10:59:28
371,2016-07-05 10:59:34
2328,2016-07-05 11:00:10
2249,2016-07-05 11:00:13
1824,2016-07-05 11:01:26
1820,2016-07-05 11:01:26
654,2016-07-05 11:01:50
616,2016-07-05 11:01:57
1035,2016-07-05 11:02:13
630,2016-07-05 11:02:40
571,2016-07-05 11:02:40
516,2016-07-05 11:03:20
465,2016-07-05 11:03:23
411,2016-07-05 11:03:27
436,2016-07-05 11:03:29
607,2016-07-05 11:03:52
610,2016-07-05 11:03:52
2693,2016-07-05 11:04:28
4598,2016-07-05 11:04:28
336,2016-07-05 11:04:29
643,2016-07-05 11:04:30
1087,2016-07-05 11:04:32
563,2016-07-05 11:04:56
723,2016-07-05 11:04:56
590,2016-07-05 11:05:12
433,2016-07-05 11:05:50
5708,2016-07-05 11:06:02
1033,2016-07-05 11:06:17
1638,2016-07-05 11:06:17
567,2016-07-05 11:06:28
419,2016-07-05 11:06:36
267,2016-07-05 11:06:40
277,2016-07-05 11:06:41
1066,2016-07-05 11:07:08
409,2016-07-05 11:07:10
583,2016-07-05 11:07:23
528,2016-07-05 11:07:23
965,2016-07-05 11:08:16
560,2016-07-05 11:08:21
553,2016-07-05 11:08:39
606,2016-07-05 11:08:39
611,2016-07-05 11:09:58
613,2016-07-05 11:09:58
520,2016-07-05 11:10:37
261,2016-07-05 11:10:39
585,2016-07-05 11:10:46
575,2016-07-05 11:10:54
1062,2016-07-05 11:11:13
645,2016-07-05 11:11:25
383,2016-07-05 11:12:24
532,2016-07-05 11:12:25
606,2016-07-05 11:13:31
563,2016-07-05 11:13:31
843,2016-07-05 11:14:06
867,2016-07-05 11:14:06
518,2016-07-05 11:14:23
453,2016-07-05 11:14:23
617,2016-07-05 11:14:59
552,2016-07-05 11:15:02
663,2016-07-05 11:15:24
435,2016-07-05 11:15:24
578,2016-07-05 11:15:47
364,2016-07-05 11:15:47
461,2016-07-05 11:15:50
673,2016-07-05 11:17:53
433,2016-07-05 11:18:12
415,2016-07-05 11:19:35
664,2016-07-05 11:20:45
877,2016-07-05 11:20:46
432,2016-07-05 11:21:21
631,2016-07-05 11:21:25
205,2016-07-05 11:21:28
217,2016-07-05 11:21:32
557,2016-07-05 11:21:33
365,2016-07-05 11:21:33
292,2016-07-05 11:21:48
555,2016-07-05 11:22:54
357,2016-07-05 11:22:54
553,2016-07-05 11:23:16
363,2016-07-05 11:23:17
454,2016-07-05 11:23:47
1387,2016-07-05 11:24:18
955,2016-07-05 11:24:18
792,2016-07-05 11:24:22
637,2016-07-05 11:25:48
479,2016-07-05 11:26:00
402,2016-07-05 11:26:38
276,2016-07-05 11:26:49
543,2016-07-05 11:26:55
1764,2016-07-05 11:26:59
482,2016-07-05 11:27:01
947,2016-07-05 11:27:19
1097,2016-07-05 11:27:24
822,2016-07-05 11:27:31
847,2016-07-05 11:27:51
619,2016-07-05 11:29:05
640,2016-07-05 11:29:54
365,2016-07-05 11:29:54
581,2016-07-05 11:31:12
377,2016-07-05 11:31:22
583,2016-07-05 11:33:42
483,2016-07-05 11:34:16
358,2016-07-05 11:34:16
512,2016-07-05 11:34:53
463,2016-07-05 11:35:00
594,2016-07-05 11:37:49
1304,2016-07-05 11:38:46
1036,2016-07-05 11:38:47
352,2016-07-05 11:39:16
605,2016-07-05 11:39:16
244,2016-07-05 11:40:55
656,2016-07-05 11:41:53
1110,2016-07-05 11:42:29
480,2016-07-05 11:42:39
555,2016-07-05 11:42:46
911,2016-07-05 11:42:48
419,2016-07-05 11:42:51
532,2016-07-05 11:43:06
651,2016-07-05 11:45:11
531,2016-07-05 11:45:18
606,2016-07-05 11:46:13
558,2016-07-05 11:46:54
381,2016-07-05 11:46:54
511,2016-07-05 11:48:08
468,2016-07-05 11:48:09
237,2016-07-05 11:48:14
269,2016-07-05 11:48:16
225,2016-07-05 11:48:53
670,2016-07-05 11:51:33
373,2016-07-05 11:52:07
359,2016-07-05 11:52:27
393,2016-07-05 11:52:27
566,2016-07-05 11:52:45
310,2016-07-05 11:53:00
1718,2016-07-05 11:54:37
424,2016-07-05 11:54:44
1993,2016-07-05 11:54:46
664,2016-07-05 11:55:02
607,2016-07-05 11:56:15
573,2016-07-05 11:56:20
572,2016-07-05 11:56:20
426,2016-07-05 11:56:29
631,2016-07-05 11:59:25
705,2016-07-05 11:59:36
545,2016-07-05 11:59:44
1355,2016-07-05 11:59:58
1697,2016-07-05 12:00:15
3522,2016-07-05 12:00:21
3771,2016-07-05 12:00:21
3868,2016-07-05 12:00:24
4519,2016-07-05 12:00:25
15234,2016-07-05 12:00:32
411,2016-07-05 12:01:42
569,2016-07-05 12:05:45
487,2016-07-05 12:05:47
265,2016-07-05 12:05:50
511,2016-07-05 12:07:36
561,2016-07-05 12:08:12
313,2016-07-05 12:08:21
763,2016-07-05 12:08:37
1772,2016-07-05 12:08:40
1051,2016-07-05 12:08:46
666,2016-07-05 12:08:48
602,2016-07-05 12:09:43
458,2016-07-05 12:09:45
268,2016-07-05 12:09:49
557,2016-07-05 12:09:58
270,2016-07-05 12:10:01
883,2016-07-05 12:10:06
360,2016-07-05 12:10:08
566,2016-07-05 12:10:18
462,2016-07-05 12:10:21
548,2016-07-05 12:10:24
574,2016-07-05 12:11:02
314,2016-07-05 12:11:05
512,2016-07-05 12:11:43
612,2016-07-05 12:12:40
563,2016-07-05 12:13:46
608,2016-07-05 12:14:05
618,2016-07-05 12:15:03
1530,2016-07-05 12:16:28
582,2016-07-05 12:16:58
489,2016-07-05 12:17:25
298,2016-07-05 12:17:55
606,2016-07-05 12:18:00
419,2016-07-05 12:18:23
404,2016-07-05 12:18:30
988,2016-07-05 12:18:54
843,2016-07-05 12:18:59
615,2016-07-05 12:19:31
601,2016-07-05 12:19:41
315,2016-07-05 12:19:45
428,2016-07-05 12:20:01
604,2016-07-05 12:20:13
467,2016-07-05 12:20:21
566,2016-07-05 12:20:26
616,2016-07-05 12:20:33
314,2016-07-05 12:20:39
703,2016-07-05 12:21:16
819,2016-07-05 12:21:59
1148,2016-07-05 12:22:23
470,2016-07-05 12:22:42
449,2016-07-05 12:22:59
399,2016-07-05 12:23:00
415,2016-07-05 12:23:27
560,2016-07-05 12:23:28
457,2016-07-05 12:23:31
566,2016-07-05 12:23:45
411,2016-07-05 12:23:47
